Семейство,Введённое название,Принятое название,Висимский заповедник,Жигулевский заповедник,,,,,,Семейство,Введённое название,Принятое название,Висимский заповедник,Жигулевский заповедник
Asteraceae (Compositae),Aster salignus Willd.,,-,+,,,,,,Rosaceae,Aronia mitschurinii A. Skvorts. et Maitul. ,,-,+
Asteraceae (Compositae),Bellis perennis L. ,,-,+,,,,,,Asteraceae (Compositae),Artemisia abortanum L. ,,-,+
Asteraceae (Compositae),Bidens cernua L.,,-,+,,,,,,Asteraceae (Compositae),Artemisia absinthium L.,,-,+
Asteraceae (Compositae),Bidens frondosa L.,,-,+,,,,,,Asteraceae (Compositae),Artemisia annua L.,,-,+
Asteraceae (Compositae),Bidens radiata Thuill.,,-,+,,,,,,Asteraceae (Compositae),Artemisia armeniaca Lam.,,-,+
Asteraceae (Compositae),Calenaula officinalis L.,,-,+,,,,,,Asteraceae (Compositae),Artemisia austriaca Jacq.,,-,+
Asteraceae (Compositae),Carduus acahthoides L. ,,-,+,,,,,,Asteraceae (Compositae),Artemisia campestris L.,,-,+
Asteraceae (Compositae),Carduus crispus L. ,,-,+,,,,,,Asteraceae (Compositae),Artemisia commutata Bess. ,,-,+
Asteraceae (Compositae),Carduus hamulosus Ehrh.,,-,+,,,,,,Asteraceae (Compositae),Artemisia latifolia Ledeb.,,-,+
Asteraceae (Compositae),Carduus thoermeri Weinm.,,-,+,,,,,,Asteraceae (Compositae),Artemisia marschalliana Spreng.,,-,+
Asteraceae (Compositae),Carlina bibersteini Bernh. ex Hornem. ,,-,+,,,,,,Asteraceae (Compositae),Artemisia pontica L.,,-,+
Asteraceae (Compositae),Carlina intermedia Schur,,-,+,,,,,,Asteraceae (Compositae),Artemisia salsoloides Willd.,,-,+
Asteraceae (Compositae),Centaurea adpressa Ledeb. ,,-,+,,,,,,Asteraceae (Compositae),Artemisia scoparia Waldst. et Kit.,,-,+
Asteraceae (Compositae),Centaurea apiculata Ledeb.,,-,+,,,,,,Asteraceae (Compositae),Artemisia sericea Web. ex Stechm.,,-,+
Asteraceae (Compositae),Centaurea carbonata Klok.,,-,+,,,,,,Asteraceae (Compositae),Artemisia sieversiana Willd.,,-,+
Asteraceae (Compositae),Centaurea cyanus L.,,-,+,,,,,,Asteraceae (Compositae),Artemisia vulgaris L.,Artemisia vulgaris L., + ,+
Asteraceae (Compositae),Centaurea diffusa Lam.,,-,+,,,,,,Aristolochiaceae,Asarum europaeum L.,Asarum europaeum L., + ,+
Asteraceae (Compositae),Centaurea jacea L.,,-,+,,,,,,Asparagaceae,Asparagus officinalis L.,,-,+
Asteraceae (Compositae),Centaurea marschalliana Spreng.,,-,+,,,,,,Asparagaceae,Asparagus polyphyllus Stev.,,-,+
Asteraceae (Compositae),Centaurea pseudomaculosa Dobrocz.,,-,+,,,,,,Boraginaceae,Asperago procumbens L.,,-,+
Asteraceae (Compositae),Centaurea pseudophrygia C.A. Mey.,,-,+,,,,,,Rubiaceae,Asperula exasperata V. Krecz. ,,-,+
Asteraceae (Compositae),Centaurea ruthenica Lam.,,-,+,,,,,,Rubiaceae,Asperula petraea V. Krecz. ex Klok.,,-,+
Asteraceae (Compositae),Centaurea sumensis Kalen.,,-,+,,,,,,Aspleniaceae,Asplenium lusaticum D. E. Mey.,,-,+
Asteraceae (Compositae),Centaurea trichocephala Bieb.,,-,+,,,,,,Aspleniaceae,Asplenium ruta-muraria L.,,-,+
Asteraceae (Compositae),Chondrilla graminea Bieb. ,,-,+,,,,,,Asteraceae (Compositae),Aster alpinus L. ,,-,+
Asteraceae (Compositae),Chondrilla juncea L.,,-,+,,,,,,Asteraceae (Compositae),Aster bessarabicus Bernh. ex Reichenb.,,-,+
Asteraceae (Compositae),Cichorium intybus L. ,,-,+,,,,,,Asteraceae (Compositae),Aster salignus Willd.,,-,+
Asteraceae (Compositae),Cirsium ciliatum (Murr.) Moench ,,-,+,,,,,,Fabaceae (Leguminosae),Astragalus сісег L.,,-,+
Asteraceae (Compositae),Cirsium esculentum (Siev.) C.A. Mey.,,-,+,,,,,,Fabaceae (Leguminosae),Astragalus austriacus Jacq. ,,-,+
Asteraceae (Compositae),Cirsium incanum (S.G. Gmel.) Fisch.,,-,+,,,,,,Fabaceae (Leguminosae),Astragalus danicus Retz.,,-,+
Asteraceae (Compositae),Cirsium polonicum (Petrak) Iljin,,-,+,,,,,,Fabaceae (Leguminosae),Astragalus glycyphyllos L.,,-,+
Asteraceae (Compositae),Cirsium serrulatum (Bieb.) Fisch.,,-,+,,,,,,Fabaceae (Leguminosae),Astragalus helmii Fisch.,,-,+
Asteraceae (Compositae),Conyza canadensis (L.) Cronquist ,,-,+,,,,,,Fabaceae (Leguminosae),Astragalus onobrychis L.,,-,+
Asteraceae (Compositae),Cosmos bipinnatus Cav. ,,-,+,,,,,,Fabaceae (Leguminosae),Astragalus rupifragus Pall.,,-,+
Asteraceae (Compositae),Crepis biennis L. ,,-,+,,,,,,Fabaceae (Leguminosae),Astragalus testiculatus Pall.,,-,+
Asteraceae (Compositae),Crepis pannonica (Jacq.) C. Koch,,-,+,,,,,,Fabaceae (Leguminosae),Astragalus varius S.G.Gmel.,,-,+
Asteraceae (Compositae),Crepis praemorsa (L.) Tausch,,-,+,,,,,,Fabaceae (Leguminosae),Astragalus zingeri Korsh.,,-,+
Asteraceae (Compositae),Cyclachena xanthüfolia (Nutt.) Fresen. ,,-,+,,,,,,Athyriaceae,Athyrium distentifolium Tausch ex Opiz,Athyrium alpestre (Hoppe) Clairv., + ,-
Asteraceae (Compositae),Echinops meyeri (DC.) Iljin ,,-,+,,,,,,Woodsiaceae,Athyrium felix-femina (L.) Roth,,-,+
Asteraceae (Compositae),Echinops ruthenicus Bieb.,,-,+,,,,,,Athyriaceae,Athyrium filix-femina (L.) Roth,Athyrium filix-femina (L.) Roth, + ,-
Asteraceae (Compositae),Echinops sphaerocephalus L.,,-,+,,,,,,Ranunculaceae,Atragene sibirica L.,Clematis alpina subsp. sibirica (L.) Kuntze, + ,-
Asteraceae (Compositae),Erigeron podolicus Bess.,,-,+,,,,,,Polygonaceae,Atraphaxis frutescens (L.) C. Koch ,,-,+
Asteraceae (Compositae),Erigeron uralensis Less.,,-,+,,,,,,Chenopodiaceae,Atriplex calotheca (Rafn) Fries ,,-,+
Asteraceae (Compositae),Eupatorium cannabinum L. ,,-,+,,,,,,Chenopodiaceae,Atriplex patula L.,,-,+
Asteraceae (Compositae),Galatella angustissima ,,-,+,,,,,,Chenopodiaceae,Atriplex sagittata Borkh.,,-,+
Asteraceae (Compositae),Galatella biflora (L.) Ness,,-,+,,,,,,Chenopodiaceae,Atriplex tatarica L.,,-,+
Asteraceae (Compositae),Galatella × crinitoides Novopokr.,,-,+,,,,,,Apiaceae (Umbelliferae),Aulacospermum multifidum (Smith) Meinsh. ,,-,+
Asteraceae (Compositae),Galatella rossica Novopokr.,,-,+,,,,,,Poaceae (Gramineae),Avena fatua L. ,,-,+
Asteraceae (Compositae),Galatella villosa (L.) Reichenb. Fil.,,-,+,,,,,,Poaceae (Gramineae),Avena sativa L.,Avena sativa L., + ,+
Asteraceae (Compositae),Galinsoga ciliata (Raf.) Blake ,,-,+,,,,,,Poaceae (Gramineae),Avenella flexuosa (L.) Drej.,Deschampsia flexuosa (L.) Trin., + ,-
Asteraceae (Compositae),Galinsoga parviflora Cav.,,-,+,,,,,,Chenopodiaceae,Axyris amaranthoides L. ,,-,+
Asteraceae (Compositae),Gnaphalium rossicum Kir. ,,-,+,,,,,,Lamiaceae (Labiatae),Ballota nigra L. ,,-,+
Asteraceae (Compositae),Gnaphalium uliginosum (L.) Opiz,,-,+,,,,,,Brassicaceae,Barbarea arcuata (Opiz ex J. et C. Presl) Reichenb.,Barbarea vulgaris R.Br., + ,+
Asteraceae (Compositae),Helianthus annuus L. ,,-,+,,,,,,Brassicaceae (Cruciferae),Barbarea stricta Andrz.,Barbarea stricta Andrz. ex Besser, + ,+
Asteraceae (Compositae),Helianthus tuberosus L.,,-,+,,,,,,Ranunculaceae,Batrachium circinatum (Sibth.) Spach,Ranunculus circinatus Sibth., + ,+
Asteraceae (Compositae),Helichrysum arenarium (L.) Moench ,,-,+,,,,,,Ranunculaceae,Batrachium eradicatum (Laest.) Fries,Ranunculus trichophyllus subsp. eradicatus (Laest.) C.D.K.Cook, + ,-
Asteraceae (Compositae),Hieracium filifolium Juxip.,,-,+,,,,,,Ranunculaceae,Batrachium trichophyllum (Chaix) Bosch,,-,+
Asteraceae (Compositae),Hieracium largum Fries,,-,+,,,,,,Poaceae (Gramineae),Beckmannia eruciformis (L.) Host  ,,-,+
Asteraceae (Compositae),Hieracium robustum Fries,,-,+,,,,,,Asteraceae (Compositae),Bellis perennis L. ,,-,+
Asteraceae (Compositae),Hieracium virosum Pall.,,-,+,,,,,,Berberidaceae ,Berberis vulgaris L. ,,-,+
Asteraceae (Compositae),Inula aspera Poir. ,,-,+,,,,,,Brassicaceae (Cruciferae),Berteroa incana (L.) DC. ,,-,+
Asteraceae (Compositae),Inula britannica L.,,-,+,,,,,,Lamiaceae (Labiatae),Betonica officinalis L.,Stachys officinalis (L.) Trevis., + ,+
Asteraceae (Compositae),Inula germanica L.,,-,+,,,,,,Betulaceae,Betula pendula Roth,Betula pendula Roth, + ,+
Asteraceae (Compositae),Inula helenium L.,,-,+,,,,,,Betulaceae,Betula pubescens Ehrh. (= B. alba L.),Betula pubescens Ehrh., + ,+
Asteraceae (Compositae),Inula hirta L.,,-,+,,,,,,Asteraceae (Compositae),Bidens cernua L.,,-,+
Asteraceae (Compositae),Jurinea arachnoidea Bunge ,,-,+,,,,,,Asteraceae (Compositae),Bidens frondosa L.,,-,+
Asteraceae (Compositae),Jurinea cyanoides (L.) Reichenb.,,-,+,,,,,,Asteraceae (Compositae),Bidens radiata Thuill.,,-,+
Asteraceae (Compositae),Jurinea ledebourii Bunge,,-,+,,,,,,Asteraceae (Compositae),Bidens tripartita L.,Bidens tripartita L., + ,+
Asteraceae (Compositae),Lactuca chaixit Vill. ,,-,+,,,,,,Polygonaceae,Bistorta major Gray,Persicaria bistorta (L.) Samp., + ,+
Asteraceae (Compositae),Lactuca saligna L.,,-,+,,,,,,Cyperaceae,Bolboschoenus maritimus (L.) Plla,,-,+
Asteraceae (Compositae),Lactuca sativa L.,,-,+,,,,,,Boraginaceae,Borago officinalis L. ,,-,+
Asteraceae (Compositae),Lactuca serriola L.,,-,+,,,,,,Botrychiaceae,Botrychium lanceolatum (S.G.Gmel.) Angstr.,Botrychium lanceolatum (S.G. Gmel.) Ångström, + ,-
Asteraceae (Compositae),Lactuca sibirica (L.) Benth. ex Maxim.,,-,+,,,,,,Botrychiaceae,Botrychium lunaria (L.) Sw.,Botrychium lunaria (L.) Sw., + ,+
Asteraceae (Compositae),Lactuca tatarica (L.) C.A. Mey.,,-,+,,,,,,Botrychiaceae,Botrychium multifidum (S.G. Gmel.) Rupr.,Botrychium multifidum (S.G. Gmel.) Rupr., + ,-
Asteraceae (Compositae),Lapsana communis L. ,,-,+,,,,,,Poaceae (Gramineae),Brachypodium pinnatum (L.) Beauv.,Brachypodium pinnatum (L.) P.Beauv., + ,+
Asteraceae (Compositae),Lepidotheca suaveolens (Pursh) Nutt. ,,-,+,,,,,,Poaceae (Gramineae),Brachypodium sylvaticum (Huds.) Beauv. ,,-,+
Asteraceae (Compositae),Logfia arvensis (L.) Holub ,,-,+,,,,,,Brassicaceae (Cruciferae),Brassica campestris L. ,,-,+
Asteraceae (Compositae),Matricaria recutita L. ,,-,+,,,,,,Poaceae (Gramineae),Briza media L.,Briza media L., + ,-
Asteraceae (Compositae),Onopordum acanthium L. ,,-,+,,,,,,Poaceae (Gramineae),Bromopsis benekeni (Lange) Holub ,,-,+
Asteraceae (Compositae),Petasites spurius (Retz.) Reichenb. ,,-,+,,,,,,Poaceae (Gramineae),Bromopsis inermis (Leyss.) Holub,Bromus inermis Leyss., + ,+
Asteraceae (Compositae),Pilosella asiatica (Naeg. et Peter) Schljak. ,,-,+,,,,,,Poaceae (Gramineae),Bromopsis riparia (Rehm.) Holub,,-,+
Asteraceae (Compositae),Pilosella × auriculoides (Láng) F. Schultz,,-,+,,,,,,Poaceae (Gramineae),Bromus arvensis L.  ,,-,+
Asteraceae (Compositae),Pilosella × bifurca (Bieb.) F. Schultz et Sch. Bip.,,-,+,,,,,,Poaceae (Gramineae),Bromus japonicus Thunb.,,-,+
Asteraceae (Compositae),Pilosella caespitosa (Dumort.) P.D. Sell et C. West,,-,+,,,,,,Poaceae (Gramineae),Bromus squarrosus L.,,-,+
Asteraceae (Compositae),Pilosella × calodon (Tausch ex Peter) Soják,,-,+,,,,,,Cucurbitaceae ,Bryonia alba L. ,,-,+
Asteraceae (Compositae),Pilosella echioides (Lumn.) F. Schultz et Sch. Bip.,,-,+,,,,,,Boraginaceae,Buglossoides arvensis (L.) Johnst. ,,-,+
Asteraceae (Compositae),Pilosella officinarum F. Schultz et Sch. Bip.,,-,+,,,,,,Boraginaceae,Buglossoides czernjaevii (Klok.) Czer.,,-,+
Asteraceae (Compositae),Pilosella procera (Fries)  F. Schultz et Sch. Bip.,,-,+,,,,,,Brassicaceae (Cruciferae),Bunias orientalis L.,Bunias orientalis L., + ,+
Asteraceae (Compositae),Pilosella samarica (Zahn) Schliak.,,-,+,,,,,,Apiaceae (Umbelliferae),Bupleurum aureum (Hoffm.) Fisch. ex Spreng. ,,-,+
Asteraceae (Compositae),Pilosella trichocymosa (Zahn) Schliak. ,,-,+,,,,,,Apiaceae (Umbelliferae),Bupleurum falcatum L.,,-,+
Asteraceae (Compositae),Pilosella vaillantit (Tausch) Sojak,,-,+,,,,,,Apiaceae (Umbelliferae),Bupleurum longifolium L. ssp. aureum (Fisch. ex Hoffm.) Soo,Bupleurum longifolium L., + ,-
Asteraceae (Compositae),Ptarmica cartilaginea (Ledeb. ex Reichenb.) Ledeb. ,,-,+,,,,,,Ranunculaceae,Buschia lateriflora (DC.) Ovcz. ,,-,+
Asteraceae (Compositae),Ptarmica salicifolia (Bess.) Serg.,,-,+,,,,,,Butomaceae,Butomus umbellatus L.,Butomus umbellatus L., + ,+
Asteraceae (Compositae),Ptarmica septentrionalis Serg.,,-,+,,,,,,Asteraceae (Compositae),Cacalia hastata L.,Parasenecio hastatus (L.) H.Koyama, + ,-
Asteraceae (Compositae),Ptarmica vulgaris Blakw. ex DC.,,-,+,,,,,,Poaceae (Gramineae),Calamagrostis arundinaceae (L.) Roth,Calamagrostis arundinacea (L.) Roth, + ,+
Asteraceae (Compositae),Pulcaria dysenterica (L.) Beinh. ,,-,+,,,,,,Poaceae (Gramineae),Calamagrostis canescens (Web.) Roth  ,,-,+
Asteraceae (Compositae),Pulcaria vulgaris Gaertn.,,-,+,,,,,,Poaceae (Gramineae),Calamagrostis epigeios (L.) Roth,Calamagrostis epigeios (L.) Roth, + ,+
Asteraceae (Compositae),Pyrethrum corymbosum (L.) Scop. ,,-,+,,,,,,Poaceae (Gramineae),Calamagrostis glomerata Boiss. et Buhse,,-,+
Asteraceae (Compositae),Pyrethrum parthenium (L.) Smith,,-,+,,,,,,Poaceae (Gramineae),Calamagrostis langsdorffii (Link) Trin.,Calamagrostis purpurea (Trin.) Trin., + ,-
Asteraceae (Compositae),Rudbeckia laciniata L. ,,-,+,,,,,,Poaceae (Gramineae),"Calamagrostis neglecta (Ehrh.) Gaertn., Mey. et Scherb.",,-,+
Asteraceae (Compositae),Scorzonera austriaca Willd. ,,-,+,,,,,,Poaceae (Gramineae),Calamagrostis obtusata Trin.,Calamagrostis obtusata Trin., + ,-
Asteraceae (Compositae),Scorzonera purpurea L.,,-,+,,,,,,Poaceae (Gramineae),Calamagrostis pavlovii Roshev. (C. obtusata × C. purpurea s.l.),Calamagrostis pavlovii (Roshev.) Roshev., + ,-
Asteraceae (Compositae),Scorzonera stricta Hornem.,,-,+,,,,,,Poaceae (Gramineae),Calamagrostis purpurea (Trin.) Trin.,Calamagrostis purpurea (Trin.) Trin., + ,-
Asteraceae (Compositae),Scorzonera taurica Bieb.,,-,+,,,,,,Asteraceae (Compositae),Calenaula officinalis L.,,-,+
Asteraceae (Compositae),Senecio erucifolius L. ,,-,+,,,,,,Araceae,Calla palustris L.,Calla palustris L., + ,-
Asteraceae (Compositae),Senecio fluviatilis Wallr.,,-,+,,,,,,Callitrichaceae,Callitriche cophocarpa Sendtn. ,,-,+
Asteraceae (Compositae),Senecio grandidentatus Ledeb.,,-,+,,,,,,Callitrichaceae,Callitriche hermaphroditica L.,Callitriche hermaphroditica L., + ,+
Asteraceae (Compositae),Senecio jacobaea L.,,-,+,,,,,,Callitrichaceae,Callitriche palustris L. (= C. verna L.),Callitriche palustris L., + ,+
Asteraceae (Compositae),Senecio schvetzovii Korsh.,,-,+,,,,,,Ranunculaceae,Caltha palustris L.,Caltha palustris L., + ,-
Asteraceae (Compositae),Senecio tataricum Less.,,-,+,,,,,,Orchidaceae,Calypso bulbosa (L.) Oakes.,Calypso bulbosa (L.) Oakes, + ,-
Asteraceae (Compositae),Senecio vernalis Waldst. et Kit.,,-,+,,,,,,Convolvulaceae ,Calystegia sepium (L.) R.Br. ,,-,+
Asteraceae (Compositae),Senecio viscosus L.,,-,+,,,,,,Brassicaceae (Cruciferae),Camelina microcarpa Andrz. ,,-,+
Asteraceae (Compositae),Senecio vulgaris L.,,-,+,,,,,,Brassicaceae (Cruciferae),Camelina pilosa (DC.) N. Zing.,,-,+
Asteraceae (Compositae),Serratula coronata L. ,,-,+,,,,,,Brassicaceae (Cruciferae),Camelina sativa (L.) Crantz,,-,+
Asteraceae (Compositae),Serratula gmelinii Tausch,,-,+,,,,,,Brassicaceae (Cruciferae),Camelina sylvestris Wallr.,,-,+
Asteraceae (Compositae),Serratula lycopifolia (Vill.) A. Kern.,,-,+,,,,,,Callitrichaceae,Campanula  rapunculoides L.,,-,+
Asteraceae (Compositae),Serratula radiata (Waldst. et Kit.) Bieb.,,-,+,,,,,,Callitrichaceae,Campanula bononiensis L. ,,-,+
Asteraceae (Compositae),Serratula tinctoria L.,,-,+,,,,,,Campanulaceae,Campanula cervicaria L.,Campanula cervicaria L., + ,+
Asteraceae (Compositae),Solidago canadensis L. ,,-,+,,,,,,Callitrichaceae,Campanula farinosa Andrz.,,-,+
Asteraceae (Compositae),Solidago virgaurea L. ,,-,+,,,,,,Campanulaceae,Campanula glomerata L.,Campanula glomerata L., + ,+
Asteraceae (Compositae),Sonchus arvensis L. ,,-,+,,,,,,Campanulaceae,Campanula latifolia L.,Campanula latifolia L., + ,+
Asteraceae (Compositae),Sonchus asper (L.) Hill,,-,+,,,,,,Campanulaceae,Campanula patula L.,Campanula patula L., + ,+
Asteraceae (Compositae),Sonchus oleraceus L.,,-,+,,,,,,Callitrichaceae,Campanula persicifolia L.,,-,+
Asteraceae (Compositae),Sonchus palustris L.,,-,+,,,,,,Callitrichaceae,Campanula sibirica L.,,-,+
Asteraceae (Compositae),Sonchus uliginosus Bieb.,,-,+,,,,,,Callitrichaceae,Campanula trachelium L.,,-,+
Asteraceae (Compositae),Tanacetum sclerophyllum (Krach.) Tzvel. ,,-,+,,,,,,Callitrichaceae,Campanula wolgensis P. Smirn.,,-,+
Asteraceae (Compositae),Taraxacum alatum Lindb. fil. ,,-,+,,,,,,Callitrichaceae,Campanula x sprygyinii Saksonov et Tzvel.,,-,+
Asteraceae (Compositae),Taraxacum beckeri Soest,,-,+,,,,,,Cannabaceae ,Cannabis ruderalis Janisch. ,,-,+
Asteraceae (Compositae),Taraxacum angustissimum Lindb. Fil.,,-,+,,,,,,Cannabaceae ,Cannabis sativa L.,,-,+
Asteraceae (Compositae),Taraxacum bessarabicum (Hornem.) Hand.-Mazz.,,-,+,,,,,,Brassicaceae (Cruciferae),Capsella bursa-pastoris (L.) Medikus,Capsella bursa-pastoris (L.) Medik., + ,+
Asteraceae (Compositae),Taraxacum erebridens Lindb. Fil.,,-,+,,,,,,Fabaceae (Leguminosae),Caragana arborescens Lam.,,-,+
Asteraceae (Compositae),Taraxacum erythrospermum Andrz.,,-,+,,,,,,Fabaceae (Leguminosae),Caragana frutex (L.) C.Koch,,-,+
Asteraceae (Compositae),Taraxacum pannonicum Sonck et Soest,,-,+,,,,,,Brassicaceae (Cruciferae),Cardamine amara L.,Cardamine amara L., + ,+
Asteraceae (Compositae),Taraxacum proximum (Dahlst.) Dahlst.,,-,+,,,,,,Brassicaceae,Cardamine dentata Schult.,Cardamine pratensis subsp. paludosa (Knaf) Celak., + ,-
Asteraceae (Compositae),Taraxacum serotinum (Waldst. et Kit.) Poir.,,-,+,,,,,,Brassicaceae (Cruciferae),Cardamine impatiens L.,,-,+
Asteraceae (Compositae),Taraxacum tortilobum Florstr.,,-,+,,,,,,Brassicaceae (Cruciferae),Cardamine parviflora L.,Cardamine parviflora L., + ,-
Asteraceae (Compositae),Taraxacum turgaicum Schischk.,,-,+,,,,,,Brassicaceae (Cruciferae),Cardamine pratensis L.,Cardamine pratensis L., + ,-
Asteraceae (Compositae),Tragopogon major Jacq. ,,-,+,,,,,,Brassicaceae (Cruciferae),Cardaria draba (L.) Desv. ,,-,+
Asteraceae (Compositae),Tragopogon orientalis L.,,-,+,,,,,,Asteraceae (Compositae),Carduus acahthoides L. ,,-,+
Asteraceae (Compositae),Tragopogon podolicus (DC.) Artemz.,,-,+,,,,,,Asteraceae (Compositae),Carduus crispus L. ,,-,+
Asteraceae (Compositae),Tripleurospermum inodorum (L.) Sch. Bip. ,,-,+,,,,,,Asteraceae (Compositae),Carduus hamulosus Ehrh.,,-,+
Asteraceae (Compositae),Xanthium albinum (Widd.) H. Scholz ,,-,+,,,,,,Asteraceae (Compositae),Carduus thoermeri Weinm.,,-,+
Asteraceae (Compositae),Xanthium californicum Greene,,-,+,,,,,,Cyperaceae,Carex acuta L.,Carex acuta L., + ,+
Asteraceae (Compositae),Xanthium strumarium L.,,-,+,,,,,,Cyperaceae,Carex acutiformis Ehrh.,,-,+
Athyriaceae,Athyrium distentifolium Tausch ex Opiz,Athyrium alpestre (Hoppe) Clairv., + ,-,,,,,,Cyperaceae,Carex appropinquata Schumach.,Carex appropinquata Schumach., + ,-
Athyriaceae,Athyrium filix-femina (L.) Roth,Athyrium filix-femina (L.) Roth, + ,-,,,,,,Cyperaceae,Carex aquatilis Wahlenb.,,-,+
Athyriaceae,Diplazium sibiricum (Turcz. ex G.Kunze) Kurata,Diplazium sibiricum (Turcz. ex Kunze) Sa. Kurata, + ,-,,,,,,Cyperaceae,Carex arnellii Christ,,-,+
Athyriaceae,Gymnocarpium dryopteris (L.) Newman,Gymnocarpium dryopteris (L.) Newman, + ,-,,,,,,Cyperaceae,Carex aspratilis V. Krecz.,,-,+
Athyriaceae,Rhizomatopteris sudetica (A.Br. et Milde) A.Khokhr. ,Cystopteris sudetica A. Braun & Milde, + ,-,,,,,,Cyperaceae,Carex atherodes Spreng.,Carex atherodes Spreng., + ,+
Balsaminaceae,Impatiens noli-tangere L.,Impatiens noli-tangere L., + ,-,,,,,,Cyperaceae,Carex brunnescens (Pers.) Poir.,Carex brunnescens (Pers.) Poir., + ,-
Balsaminaceae,Impatiens glandulifera Royle ,,-,+,,,,,,Cyperaceae,Carex canescens L. (= C. cinerea Poll.),Carex canescens L., + ,-
Balsaminaceae,Impatiens noli-tangere L.,,-,+,,,,,,Cyperaceae,Carex caryophyllea Latourr.,,-,+
Balsaminaceae,Impatiens parviflora DC.,,-,+,,,,,,Cyperaceae,Carex cespitosa L.,Carex cespitosa L., + ,+
Berberidaceae ,Berberis vulgaris L. ,,-,+,,,,,,Cyperaceae,Carex chordorrhiza Ehrh.,Carex chordorrhiza L.f., + ,-
Betulaceae,Alnus incana (L.) Moench,Alnus incana (L.) Moench, + ,+,,,,,,Cyperaceae,Carex cinerea Poll.,,-,+
Betulaceae,Betula pendula Roth,Betula pendula Roth, + ,+,,,,,,Cyperaceae,Carex colchica J. Gay,,-,+
Betulaceae,Betula pubescens Ehrh. (= B. alba L.),Betula pubescens Ehrh., + ,+,,,,,,Cyperaceae,Carex contigua Hoppe,Carex spicata Huds., + ,+
Betulaceae,Alnus glutinosa (L.) Gaert. ,,-,+,,,,,,Cyperaceae,Carex digitata L.,Carex digitata L., + ,+
Betulaceae,Coryus avellana L.,,-,+,,,,,,Cyperaceae,Carex diluta Bieb.,,-,+
Boraginaceae,Myosotis arvensis (L.) Hill,Myosotis arvensis (L.) Hill, + ,+,,,,,,Cyperaceae,Carex disperma Dew.,Carex disperma Dewey, + ,-
Boraginaceae,Myosotis krylovii Serg. (=Myosotis sylvatica Ehrh. ex Hoffm.),Myosotis krylovii Serg., + ,-,,,,,,Cyperaceae,Carex distans L.,,-,+
Boraginaceae,Myosotis palustris (L.) L.,Myosotis scorpioides L., + ,+,,,,,,Cyperaceae,Carex disticha Huds.,,-,+
Boraginaceae,Myosotis sparsiflora Pohl,Myosotis sparsiflora J.C.Mikan ex Pohl, + ,+,,,,,,Cyperaceae,Carex echinata Murr.,,-,+
Boraginaceae,Myosotis sylvatica Ehrh. ex Hoffm.,Myosotis sylvatica Hoffm., + ,-,,,,,,Cyperaceae,Carex elongata L.,Carex elongata L., + ,+
Boraginaceae,Pulmonaria mollis Wulfen ex Hornem.,Pulmonaria mollis Wulfen ex Hornem., + ,-,,,,,,Cyperaceae,Carex ericetorum Poll.,,-,+
Boraginaceae,Pulmonaria obscura Dumort.,Pulmonaria obscura Dumort., + ,+,,,,,,Cyperaceae,Carex globularis L.,Carex globularis L., + ,-
Boraginaceae,Myosotis caespitosa Schultz,Myosotis laxa subsp. caespitosa (Schultz) Hyl. ex Nordh., + ,-,,,,,,Cyperaceae,Carex hartmanii Cajand.,,-,+
Boraginaceae,Anchusa officinalis L.,,-,+,,,,,,Cyperaceae,Carex humilis Leyss.,,-,+
Boraginaceae,Argusia sibirica (L.) Dandy,,-,+,,,,,,Cyperaceae,Carex juncella (Fries) Th.Fries,Carex juncella Th. Fries, + ,-
Boraginaceae,Asperago procumbens L.,,-,+,,,,,,Cyperaceae,Carex lasiocarpa Ehrh.,,-,+
Boraginaceae,Borago officinalis L. ,,-,+,,,,,,Cyperaceae,"Carex leporina L. (= C. ovalis Gooden., C. lachenalii Schkuhr)",Carex leporina L., + ,+
Boraginaceae,Buglossoides arvensis (L.) Johnst. ,,-,+,,,,,,Cyperaceae,Carex limosa L.,Carex limosa L., + ,-
Boraginaceae,Buglossoides czernjaevii (Klok.) Czer.,,-,+,,,,,,Cyperaceae,Carex loliacea L.,Carex loliacea L., + ,-
Boraginaceae,Сynoglossum officinale L. ,,-,+,,,,,,Cyperaceae,Carex macroura Meinsh.,Carex pediformis var. macroura (Meinsh.) Kük., + ,+
Boraginaceae,Echium maculatum L. ,,-,+,,,,,,Cyperaceae,Carex melanostachya Bieb. ex Willd.,,-,+
Boraginaceae,Echium vulgare L.,,-,+,,,,,,Cyperaceae,Carex mollissima H.Christ,Carex mollissima Christ ex Scheutz, + ,-
Boraginaceae,Hackelia deflexa (Wahlenb.) Opiz ,,-,+,,,,,,Cyperaceae,Carex montana L.,,-,+
Boraginaceae,Lappula heteracantha (Ledeb.) Borb. ,,-,+,,,,,,Cyperaceae,Carex muricata L.,Carex muricata L., + ,+
Boraginaceae,Lappula patula (Lehm.) Menyhárth,,-,+,,,,,,Cyperaceae,Carex nigra (L.) Reichard,Carex nigra (L.) Reichard, + ,+
Boraginaceae,Lappula squarrosa (Retz.) Dumort.,,-,+,,,,,,Cyperaceae,Carex omskiana Meinsh.,,-,+
